task.i,learner.i,resampling.i,iteration,start.time,end.time,process,task.id,learner.id,resampling.id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups
1,1,1,48,2025-05-31T18:09:41.366068Z,2025-05-31T18:09:54.500139Z,62,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,4,1,63000
1,1,1,49,2025-05-31T18:09:41.797325Z,2025-05-31T18:09:58.209510Z,27,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,5,1,63000
1,1,1,50,2025-05-31T18:09:41.811552Z,2025-05-31T18:09:56.483049Z,41,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,5,1,63000
1,1,1,51,2025-05-31T18:09:41.823422Z,2025-05-31T18:09:56.572856Z,39,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,6,1,63000
1,1,1,52,2025-05-31T18:09:41.833215Z,2025-05-31T18:09:56.552322Z,44,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,6,1,63000
1,1,1,53,2025-05-31T18:09:41.846938Z,2025-05-31T18:09:56.475868Z,42,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,7,1,63000
1,1,1,54,2025-05-31T18:09:41.862560Z,2025-05-31T18:09:56.576451Z,43,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,7,1,63000
1,1,1,55,2025-05-31T18:09:42.422433Z,2025-05-31T18:09:56.912931Z,28,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,8,1,63000
1,1,1,56,2025-05-31T18:09:43.190212Z,2025-05-31T18:09:56.558737Z,37,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,8,1,63000
1,1,1,57,2025-05-31T18:09:43.198307Z,2025-05-31T18:09:56.567405Z,40,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,9,1,63000
1,1,1,58,2025-05-31T18:09:43.208362Z,2025-05-31T18:09:56.575311Z,38,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,9,1,63000
1,1,1,59,2025-05-31T18:09:43.218820Z,2025-05-31T18:09:56.344742Z,52,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,10,1,63000
1,1,1,60,2025-05-31T18:09:43.227057Z,2025-05-31T18:09:56.427725Z,50,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,10,1,63000
1,2,1,1,2025-05-31T18:09:43.238139Z,2025-06-01T02:14:30.709692Z,46,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,1,1,126000
1,2,1,2,2025-05-31T18:09:43.248912Z,2025-06-01T01:58:25.803543Z,84,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,1,1,126000
1,2,1,3,2025-05-31T18:09:43.258823Z,2025-06-01T02:16:25.596888Z,90,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,2,1,126000
1,2,1,4,2025-05-31T18:09:43.267152Z,2025-06-01T02:06:33.485006Z,92,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,2,1,126000
1,2,1,5,2025-05-31T18:09:43.284332Z,2025-06-01T02:13:50.261334Z,6,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,3,1,126000
1,2,1,6,2025-05-31T18:09:43.304715Z,2025-06-01T02:13:20.071844Z,7,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,3,1,126000
1,2,1,7,2025-05-31T18:09:43.315312Z,2025-06-01T02:06:46.170555Z,76,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,4,1,126000
1,2,1,8,2025-05-31T18:09:43.325774Z,2025-06-01T02:20:18.879737Z,89,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,4,1,126000
1,2,1,9,2025-05-31T18:09:43.342789Z,2025-06-01T02:19:04.146563Z,21,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,5,1,126000
1,2,1,10,2025-05-31T18:09:43.353256Z,2025-06-01T02:26:28.789663Z,75,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,5,1,126000
1,2,1,11,2025-05-31T18:09:43.369319Z,2025-06-01T02:12:22.692995Z,48,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,6,1,126000
1,2,1,12,2025-05-31T18:09:43.380247Z,2025-06-01T02:09:27.576041Z,33,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,6,1,126000
1,2,1,13,2025-05-31T18:09:43.432268Z,2025-06-01T01:42:22.333883Z,99,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,7,1,126000
1,2,1,14,2025-05-31T18:09:43.447189Z,2025-06-01T02:14:51.205331Z,100,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,7,1,126000
1,2,1,15,2025-05-31T18:09:43.454456Z,2025-06-01T02:15:47.543120Z,93,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,8,1,126000
1,2,1,16,2025-05-31T18:09:43.462258Z,2025-06-01T02:21:31.339438Z,94,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,8,1,126000
1,2,1,17,2025-05-31T18:09:43.469759Z,2025-06-01T02:22:58.948453Z,95,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,9,1,126000
1,2,1,18,2025-05-31T18:09:43.705230Z,2025-06-01T01:44:54.445030Z,71,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,9,1,126000
1,2,1,19,2025-05-31T18:09:43.718488Z,2025-06-01T01:55:36.791515Z,29,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,all,126000,10,1,126000
1,2,1,20,2025-05-31T18:09:43.734888Z,2025-06-01T02:16:54.568444Z,79,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,all,126000,10,1,126000
1,2,1,21,2025-05-31T18:09:43.747150Z,2025-05-31T21:55:56.160285Z,23,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,1,1,63000
1,2,1,22,2025-05-31T18:09:43.758599Z,2025-05-31T21:44:27.920284Z,77,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,1,1,63000
1,2,1,23,2025-05-31T18:09:43.857045Z,2025-05-31T21:54:56.315301Z,15,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,2,1,63000
1,2,1,24,2025-05-31T18:09:43.935374Z,2025-05-31T21:59:06.606891Z,53,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,2,1,63000
1,2,1,25,2025-05-31T18:09:43.948087Z,2025-05-31T21:50:18.878440Z,26,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,3,1,63000
1,2,1,26,2025-05-31T18:09:43.955858Z,2025-05-31T21:50:16.113955Z,25,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,3,1,63000
1,2,1,27,2025-05-31T18:09:44.065702Z,2025-05-31T22:09:41.485333Z,24,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,4,1,63000
1,2,1,28,2025-05-31T18:09:44.077116Z,2025-05-31T21:58:01.556937Z,2,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,4,1,63000
1,2,1,29,2025-05-31T18:09:44.084879Z,2025-05-31T22:05:23.883201Z,3,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,5,1,63000
1,2,1,30,2025-05-31T18:09:44.113880Z,2025-05-31T22:21:42.240813Z,17,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,5,1,63000
1,2,1,31,2025-05-31T18:09:44.121457Z,2025-05-31T22:20:08.946496Z,16,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,6,1,63000
1,2,1,32,2025-05-31T18:09:44.197964Z,2025-05-31T21:44:29.935180Z,51,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,6,1,63000
1,2,1,33,2025-05-31T18:09:44.206716Z,2025-05-31T21:58:28.755872Z,36,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,7,1,63000
1,2,1,34,2025-05-31T18:09:44.236029Z,2025-05-31T21:46:31.231501Z,86,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,7,1,63000
1,2,1,35,2025-05-31T18:09:44.248971Z,2025-05-31T21:56:15.445153Z,1,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,8,1,63000
1,2,1,36,2025-05-31T18:09:44.273868Z,2025-05-31T21:48:51.746080Z,5,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,8,1,63000
1,2,1,37,2025-05-31T18:09:44.291794Z,2025-05-31T22:01:20.082527Z,49,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,9,1,63000
1,2,1,38,2025-05-31T18:09:44.298032Z,2025-05-31T21:58:14.755570Z,32,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,9,1,63000
1,2,1,39,2025-05-31T18:09:44.315577Z,2025-05-31T21:45:05.893418Z,87,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,other,63000,10,1,63000
1,2,1,40,2025-05-31T18:09:44.331804Z,2025-05-31T21:56:20.354974Z,78,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,other,63000,10,1,63000
1,2,1,41,2025-05-31T18:09:44.346683Z,2025-05-31T22:03:28.332882Z,69,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,1,1,63000
